player_id,player_name,season,league,team,role,age,ip,g,gs,k_pct,bb_pct,hr_fb,era,fip,home_pa,road_pa,home_era,road_era,park_id,source,is_synthetic
kbo-name-chauchan,chauchan,2018,KBO,LG,pitcher,27.0,170.0,29.0,0.0,0.1784776902887139,0.1062992125984252,0.1525423728813559,6.09,5.135294117647058,381.0,381.0,6.09,6.09,LG,kbo-official,False
kbo-62528,gimwonjung,2018,KBO,rotde,pitcher,27.0,145.0,30.0,0.0,0.2011747430249633,0.1145374449339207,0.1618497109826589,6.94,5.541379310344828,340.5,340.5,6.94,6.94,롯데,kbo-official,False
kbo-77637,yanghyeonjong,2019,KBO,KIA,pitcher,27.0,184.0,29.0,0.0,0.2229822161422708,0.0451436388508891,0.0363636363636363,2.29,2.322826086956522,365.5,365.5,2.29,2.29,KIA,kbo-official,False
kbo-name-rindeubeulreom,rindeubeulreom,2019,KBO,dusan,pitcher,27.0,194.0,30.0,0.0,0.2445019404915912,0.03751617076326,0.0787878787878787,2.5,2.563917525773196,386.5,386.5,2.5,2.5,두산,kbo-official,False
kbo-77829,gimgwanghyeon,2019,KBO,SK,pitcher,27.0,190.0,31.0,0.0,0.2290076335877862,0.049618320610687,0.0656565656565656,2.51,2.726315789473684,393.0,393.0,2.51,2.51,SK,kbo-official,False
kbo-name-kelri,kelri,2019,KBO,LG,pitcher,27.0,180.0,29.0,0.0,0.1686746987951807,0.0548862115127175,0.0426829268292682,2.55,3.1555555555555554,373.5,373.5,2.55,2.55,LG,kbo-official,False
kbo-name-sancheseu,sancheseu,2019,KBO,SK,pitcher,27.0,165.0,28.0,0.0,0.2205663189269746,0.0625931445603576,0.0132450331125827,2.62,2.263636363636364,335.5,335.5,2.62,2.62,SK,kbo-official,False
kbo-name-wilseun,wilseun,2019,KBO,LG,pitcher,27.0,185.0,30.0,0.0,0.1795543905635648,0.0589777195281782,0.0409356725146198,2.92,2.9864864864864864,381.5,381.5,2.92,2.92,LG,kbo-official,False
kbo-name-beurigeom,beurigeom,2019,KBO,kium,pitcher,27.0,158.0,28.0,0.0,0.1943198804185351,0.0687593423019432,0.0337837837837837,2.96,2.967088607594937,334.5,334.5,2.96,2.96,키움,kbo-official,False
kbo-name-ruchinseuki,ruchinseuki,2019,KBO,NC,pitcher,27.0,177.0,30.0,0.0,0.1627906976744186,0.0615595075239398,0.0792682926829268,3.05,3.659322033898305,365.5,365.5,3.05,3.05,NC,kbo-official,False
kbo-name-yokisi,yokisi,2019,KBO,kium,pitcher,27.0,181.0,30.0,0.0,0.1890080428954423,0.0522788203753351,0.0542168674698795,3.13,3.0171270718232046,373.0,373.0,3.13,3.13,키움,kbo-official,False
kbo-name-yuhuigwan,yuhuigwan,2019,KBO,dusan,pitcher,27.0,166.0,28.0,0.0,0.0924855491329479,0.065028901734104,0.0467836257309941,3.25,3.7686746987951807,346.0,346.0,3.25,3.25,두산,kbo-official,False
kbo-65320,choewontae,2019,KBO,kium,pitcher,27.0,157.0,27.0,0.0,0.1576576576576576,0.054054054054054,0.0303030303030303,3.38,2.9598726114649683,333.0,333.0,3.38,3.38,키움,kbo-official,False
kbo-name-chaedeubel,chaedeubel,2019,KBO,hanhwa,pitcher,27.0,177.0,29.0,0.0,0.1789052069425901,0.0841121495327102,0.0828402366863905,3.5,3.8514124293785312,374.5,374.5,3.5,3.5,한화,kbo-official,False
kbo-name-seopoldeu,seopoldeu,2019,KBO,hanhwa,pitcher,27.0,192.0,31.0,0.0,0.1666666666666666,0.0679012345679012,0.0418848167539267,3.51,3.2041666666666666,405.0,405.0,3.51,3.51,한화,kbo-official,False
kbo-name-kuebaseu,kuebaseu,2019,KBO,KT,pitcher,27.0,184.0,30.0,0.0,0.1776315789473684,0.0828947368421052,0.1176470588235294,3.62,4.127173913043478,380.0,380.0,3.62,3.62,KT,kbo-official,False
kbo-66291,iyeongha,2019,KBO,dusan,pitcher,27.0,163.0,29.0,0.0,0.130057803468208,0.0895953757225433,0.0337837837837837,3.64,3.701226993865031,346.0,346.0,3.64,3.64,두산,kbo-official,False
kbo-62869,munseungwon,2019,KBO,SK,pitcher,27.0,144.0,26.0,0.0,0.1689419795221843,0.0580204778156996,0.1769230769230769,3.88,4.551388888888889,293.0,293.0,3.88,3.88,SK,kbo-official,False
